ENSG00000078668 ENSG00000104365
ENSG00000172116 ENSG00000271503
ENSG00000155659 ENSG00000177575
ENSG00000105640 ENSG00000108107
ENSG00000131153 ENSG00000175643
ENSG00000138459 ENSG00000144827
ENSG00000113312 ENSG00000164902
ENSG00000172116 ENSG00000198851
ENSG00000112110 ENSG00000272047
ENSG00000148606 ENSG00000156502
ENSG00000105516 ENSG00000167074
ENSG00000126883 ENSG00000136891
ENSG00000148843 ENSG00000173145
ENSG00000078668 ENSG00000147419
ENSG00000116698 ENSG00000160741
ENSG00000132185 ENSG00000177455
ENSG00000112110 ENSG00000120438
ENSG00000143379 ENSG00000163374
ENSG00000196407 ENSG00000225556
ENSG00000138398 ENSG00000163166
ENSG00000143157 ENSG00000163468
ENSG00000179776 ENSG00000204301
ENSG00000158402 ENSG00000183856
ENSG00000116824 ENSG00000160654
ENSG00000078674 ENSG00000197265
ENSG00000120328 ENSG00000197479
ENSG00000152969 ENSG00000163508
ENSG00000079459 ENSG00000147419
ENSG00000100462 ENSG00000129460
ENSG00000132514 ENSG00000158481
ENSG00000143621 ENSG00000163468
ENSG00000121060 ENSG00000274211
ENSG00000120925 ENSG00000197892
ENSG00000117650 ENSG00000131747
ENSG00000107796 ENSG00000130176
ENSG00000171368 ENSG00000206077
ENSG00000158863 ENSG00000221914
ENSG00000036054 ENSG00000114573
ENSG00000040341 ENSG00000164751
ENSG00000134321 ENSG00000157601
ENSG00000054267 ENSG00000069248
ENSG00000133561 ENSG00000133574
ENSG00000164941 ENSG00000164944
ENSG00000075218 ENSG00000175063
ENSG00000162747 ENSG00000163464
ENSG00000148773 ENSG00000237649
ENSG00000104412 ENSG00000164961
ENSG00000164265 ENSG00000164266
ENSG00000163964 ENSG00000174007
ENSG00000153234 ENSG00000162772
ENSG00000096060 ENSG00000109906
ENSG00000095574 ENSG00000148737
ENSG00000005700 ENSG00000111880
ENSG00000160221 ENSG00000280071
ENSG00000114686 ENSG00000172765
ENSG00000078674 ENSG00000085788
ENSG00000106028 ENSG00000127922
ENSG00000009844 ENSG00000120253
ENSG00000114354 ENSG00000144848
ENSG00000144744 ENSG00000144747
ENSG00000122140 ENSG00000165688
ENSG00000066777 ENSG00000164751
ENSG00000111845 ENSG00000124784
ENSG00000147419 ENSG00000173273
ENSG00000104756 ENSG00000198791
ENSG00000093009 ENSG00000154920
ENSG00000036054 ENSG00000182504
ENSG00000168394 ENSG00000240065
ENSG00000147439 ENSG00000158941
ENSG00000172586 ENSG00000173915
ENSG00000121578 ENSG00000121579
ENSG00000113407 ENSG00000164151
ENSG00000088325 ENSG00000138160
ENSG00000055950 ENSG00000166295
ENSG00000072571 ENSG00000075218
ENSG00000181026 ENSG00000185088
ENSG00000114503 ENSG00000145191
ENSG00000188536 ENSG00000206172
ENSG00000243955 ENSG00000244067
ENSG00000113522 ENSG00000196670
ENSG00000092010 ENSG00000100938
ENSG00000107949 ENSG00000108055
ENSG00000104299 ENSG00000104643
ENSG00000121406 ENSG00000197128
ENSG00000104756 ENSG00000147316
ENSG00000134910 ENSG00000172269
ENSG00000148606 ENSG00000155256
ENSG00000135253 ENSG00000272899
ENSG00000136603 ENSG00000196428
ENSG00000140932 ENSG00000180871
ENSG00000154473 ENSG00000155287
ENSG00000116031 ENSG00000158488
ENSG00000141933 ENSG00000213638
ENSG00000138107 ENSG00000213341
ENSG00000020181 ENSG00000161381
ENSG00000075886 ENSG00000152086
ENSG00000158373 ENSG00000180596
ENSG00000131153 ENSG00000167513
ENSG00000119917 ENSG00000137959
ENSG00000175105 ENSG00000179021
ENSG00000113141 ENSG00000170445
ENSG00000122877 ENSG00000179388
ENSG00000111843 ENSG00000137210
ENSG00000130748 ENSG00000213638
ENSG00000010256 ENSG00000168291
ENSG00000099985 ENSG00000171223
ENSG00000076242 ENSG00000164062
ENSG00000102245 ENSG00000168685
ENSG00000127774 ENSG00000141933
ENSG00000185829 ENSG00000238083
ENSG00000138161 ENSG00000213185
ENSG00000066557 ENSG00000118454
ENSG00000119965 ENSG00000148606
ENSG00000107796 ENSG00000198523
ENSG00000122515 ENSG00000272391
ENSG00000104695 ENSG00000158941
ENSG00000154133 ENSG00000198844
ENSG00000080823 ENSG00000119661
ENSG00000135535 ENSG00000172469
ENSG00000147471 ENSG00000198042
ENSG00000158941 ENSG00000168495
ENSG00000088325 ENSG00000186185
ENSG00000107938 ENSG00000148606
ENSG00000141933 ENSG00000175602
ENSG00000011426 ENSG00000088325
ENSG00000065548 ENSG00000077380
ENSG00000067167 ENSG00000133731
ENSG00000047410 ENSG00000154305
ENSG00000129691 ENSG00000158941
ENSG00000104299 ENSG00000134014
ENSG00000010256 ENSG00000164062
ENSG00000165244 ENSG00000168496
ENSG00000276966 ENSG00000277224
ENSG00000126368 ENSG00000167074
ENSG00000133392 ENSG00000149591
ENSG00000104756 ENSG00000168495
ENSG00000163798 ENSG00000196504
ENSG00000168496 ENSG00000189057
ENSG00000093009 ENSG00000127564
ENSG00000117724 ENSG00000143228
ENSG00000137441 ENSG00000180644
ENSG00000138385 ENSG00000163166
ENSG00000120925 ENSG00000147475
ENSG00000156026 ENSG00000166167
ENSG00000072571 ENSG00000117399
ENSG00000101412 ENSG00000167513
ENSG00000125740 ENSG00000179388
ENSG00000126860 ENSG00000185862
ENSG00000224389 ENSG00000244731
ENSG00000153563 ENSG00000198851
ENSG00000113555 ENSG00000161940
ENSG00000075218 ENSG00000148773
ENSG00000119917 ENSG00000187608
ENSG00000083099 ENSG00000146282
ENSG00000079332 ENSG00000155256
ENSG00000112742 ENSG00000117724
ENSG00000120925 ENSG00000168615
ENSG00000163159 ENSG00000163468
ENSG00000175166 ENSG00000198836
ENSG00000152082 ENSG00000173272
ENSG00000105640 ENSG00000171858
ENSG00000180596 ENSG00000184678
ENSG00000114416 ENSG00000161204
ENSG00000080986 ENSG00000148773
ENSG00000184678 ENSG00000274290
ENSG00000131080 ENSG00000134574
ENSG00000104738 ENSG00000112118
ENSG00000134440 ENSG00000141380
ENSG00000085265 ENSG00000126759
ENSG00000136522 ENSG00000161204
ENSG00000065518 ENSG00000114491
ENSG00000120029 ENSG00000156502
ENSG00000155256 ENSG00000156502
ENSG00000117724 ENSG00000148773
ENSG00000123416 ENSG00000167553
ENSG00000104643 ENSG00000147457
ENSG00000120156 ENSG00000128567
ENSG00000153283 ENSG00000172673
ENSG00000156738 ENSG00000177455
ENSG00000066336 ENSG00000142347
ENSG00000147316 ENSG00000147457
ENSG00000124635 ENSG00000196787
ENSG00000134759 ENSG00000265681
ENSG00000124383 ENSG00000138385
ENSG00000012048 ENSG00000094804
ENSG00000065970 ENSG00000126368
ENSG00000116906 ENSG00000118873
ENSG00000158481 ENSG00000179639
ENSG00000135336 ENSG00000146282
ENSG00000051180 ENSG00000094804
ENSG00000149534 ENSG00000163751
ENSG00000101916 ENSG00000165168
ENSG00000067048 ENSG00000183878
ENSG00000066336 ENSG00000163154
ENSG00000144747 ENSG00000187098
ENSG00000128228 ENSG00000149428
ENSG00000008952 ENSG00000163964
ENSG00000104679 ENSG00000155189
ENSG00000140396 ENSG00000175073
ENSG00000009844 ENSG00000120265
ENSG00000184221 ENSG00000205927
ENSG00000100823 ENSG00000100938
ENSG00000066777 ENSG00000121022
ENSG00000177575 ENSG00000260314
ENSG00000138385 ENSG00000138398
ENSG00000167613 ENSG00000186818
ENSG00000055211 ENSG00000186625
ENSG00000198865 ENSG00000250722
ENSG00000132465 ENSG00000143297
ENSG00000014919 ENSG00000151893
ENSG00000179364 ENSG00000182979
ENSG00000178338 ENSG00000196670
ENSG00000156738 ENSG00000163534
ENSG00000078674 ENSG00000147457
ENSG00000100478 ENSG00000129518
ENSG00000104388 ENSG00000140396
ENSG00000115946 ENSG00000247626
ENSG00000147439 ENSG00000198042
ENSG00000125740 ENSG00000162772
ENSG00000153294 ENSG00000164393
ENSG00000134440 ENSG00000186812
ENSG00000080986 ENSG00000117399
ENSG00000048707 ENSG00000198793
ENSG00000133872 ENSG00000147419
ENSG00000182986 ENSG00000213793
ENSG00000007202 ENSG00000174151
ENSG00000114354 ENSG00000121579
ENSG00000036054 ENSG00000081154
ENSG00000023318 ENSG00000119328
ENSG00000082516 ENSG00000113649
ENSG00000163848 ENSG00000182504
ENSG00000125148 ENSG00000187193
ENSG00000119004 ENSG00000130544
ENSG00000104689 ENSG00000147457
ENSG00000158856 ENSG00000168495
ENSG00000158578 ENSG00000169877
ENSG00000182782 ENSG00000255398
ENSG00000146038 ENSG00000146049
ENSG00000136522 ENSG00000205981
ENSG00000206172 ENSG00000244734
ENSG00000070476 ENSG00000181789
ENSG00000156970 ENSG00000198901
ENSG00000130227 ENSG00000173273
ENSG00000104660 ENSG00000104671
ENSG00000078668 ENSG00000175324
ENSG00000134321 ENSG00000137959
ENSG00000110777 ENSG00000132465
ENSG00000141101 ENSG00000171490
ENSG00000120925 ENSG00000173273
ENSG00000134590 ENSG00000203950
ENSG00000113013 ENSG00000170606
ENSG00000078668 ENSG00000176209
ENSG00000117751 ENSG00000126698
ENSG00000099795 ENSG00000174886
ENSG00000065518 ENSG00000138246
ENSG00000177646 ENSG00000240682
ENSG00000134321 ENSG00000135114
ENSG00000121578 ENSG00000177646
ENSG00000049246 ENSG00000133794
ENSG00000183718 ENSG00000196670
ENSG00000062194 ENSG00000164252
ENSG00000137876 ENSG00000166200
ENSG00000109805 ENSG00000131747
ENSG00000163464 ENSG00000180871
ENSG00000123485 ENSG00000169607
ENSG00000116863 ENSG00000117305
ENSG00000197771 ENSG00000213341
ENSG00000080802 ENSG00000105879
ENSG00000119508 ENSG00000153234
ENSG00000117399 ENSG00000123485
ENSG00000175792 ENSG00000177646
ENSG00000184678 ENSG00000203814
ENSG00000104299 ENSG00000104679
ENSG00000104756 ENSG00000147548
ENSG00000108511 ENSG00000182742
ENSG00000072832 ENSG00000072840
ENSG00000256045 ENSG00000270672
ENSG00000108511 ENSG00000120093
ENSG00000160185 ENSG00000172673
ENSG00000009844 ENSG00000146416
ENSG00000159339 ENSG00000163221
ENSG00000147364 ENSG00000180190
ENSG00000128917 ENSG00000161940
ENSG00000122952 ENSG00000189057
ENSG00000105971 ENSG00000105974
ENSG00000138468 ENSG00000144824
ENSG00000179776 ENSG00000261371
ENSG00000120889 ENSG00000173273
ENSG00000104687 ENSG00000104695
ENSG00000058729 ENSG00000198677
ENSG00000116863 ENSG00000116922
ENSG00000104299 ENSG00000198791
ENSG00000105516 ENSG00000126368
ENSG00000109805 ENSG00000156970
ENSG00000129824 ENSG00000165246
ENSG00000153989 ENSG00000189241
ENSG00000133742 ENSG00000223609
ENSG00000120093 ENSG00000182742
ENSG00000070718 ENSG00000083168
ENSG00000110700 ENSG00000118181
ENSG00000116748 ENSG00000143297
ENSG00000169715 ENSG00000198417
ENSG00000155975 ENSG00000173273
ENSG00000100162 ENSG00000166803
ENSG00000129559 ENSG00000129562
ENSG00000104626 ENSG00000104679
ENSG00000142694 ENSG00000175602
ENSG00000112763 ENSG00000124508
ENSG00000121579 ENSG00000163608
ENSG00000105369 ENSG00000132704
ENSG00000143294 ENSG00000143368
ENSG00000092140 ENSG00000179454
ENSG00000171557 ENSG00000171564
ENSG00000223572 ENSG00000237289
ENSG00000130176 ENSG00000163017
ENSG00000093009 ENSG00000162062
ENSG00000088325 ENSG00000156970
ENSG00000147439 ENSG00000158856
ENSG00000108821 ENSG00000164692
ENSG00000114541 ENSG00000163636
ENSG00000145191 ENSG00000175193
ENSG00000123485 ENSG00000164611
ENSG00000140287 ENSG00000172236
