ENSG00000123989 ENSG00000186318
ENSG00000143314 ENSG00000182004
ENSG00000132879 ENSG00000164112
ENSG00000105793 ENSG00000197024
ENSG00000158941 ENSG00000169499
ENSG00000133812 ENSG00000143479
ENSG00000077616 ENSG00000131650
ENSG00000077984 ENSG00000101115
ENSG00000136935 ENSG00000196152
ENSG00000130560 ENSG00000196363
ENSG00000117859 ENSG00000162402
ENSG00000065970 ENSG00000145495
ENSG00000008130 ENSG00000158109
ENSG00000107521 ENSG00000156502
ENSG00000079785 ENSG00000204642
ENSG00000110497 ENSG00000162144
ENSG00000117222 ENSG00000143740
ENSG00000101916 ENSG00000170312
ENSG00000116539 ENSG00000135845
ENSG00000138193 ENSG00000164904
ENSG00000137656 ENSG00000187049
ENSG00000158352 ENSG00000196911
ENSG00000149136 ENSG00000167325
ENSG00000164615 ENSG00000186642
ENSG00000149480 ENSG00000166526
ENSG00000108039 ENSG00000108061
ENSG00000055130 ENSG00000106263
ENSG00000165678 ENSG00000198964
ENSG00000065268 ENSG00000132676
ENSG00000117971 ENSG00000198799
ENSG00000166902 ENSG00000174744
ENSG00000139343 ENSG00000239672
ENSG00000134371 ENSG00000143457
ENSG00000082397 ENSG00000115604
ENSG00000107897 ENSG00000173535
ENSG00000143252 ENSG00000143612
ENSG00000129910 ENSG00000146966
ENSG00000120963 ENSG00000156170
ENSG00000119977 ENSG00000155256
ENSG00000137414 ENSG00000198108
ENSG00000114107 ENSG00000129071
ENSG00000131558 ENSG00000143199
ENSG00000117475 ENSG00000143314
ENSG00000120889 ENSG00000158863
ENSG00000116898 ENSG00000134748
ENSG00000163882 ENSG00000174953
ENSG00000078304 ENSG00000160094
ENSG00000107771 ENSG00000155229
ENSG00000135750 ENSG00000178096
ENSG00000107771 ENSG00000138138
ENSG00000001631 ENSG00000164715
ENSG00000101363 ENSG00000163285
ENSG00000197063 ENSG00000213096
ENSG00000049449 ENSG00000076258
ENSG00000100368 ENSG00000109787
ENSG00000104714 ENSG00000147457
ENSG00000158850 ENSG00000163374
ENSG00000141040 ENSG00000176428
ENSG00000160948 ENSG00000164961
ENSG00000131069 ENSG00000133687
ENSG00000112149 ENSG00000136689
ENSG00000167103 ENSG00000185515
ENSG00000089335 ENSG00000197841
ENSG00000099622 ENSG00000170634
ENSG00000161036 ENSG00000197362
ENSG00000089876 ENSG00000107959
ENSG00000100650 ENSG00000138398
ENSG00000096717 ENSG00000107771
ENSG00000141642 ENSG00000176125
ENSG00000083099 ENSG00000135336
ENSG00000115594 ENSG00000139637
ENSG00000133997 ENSG00000170348
ENSG00000104177 ENSG00000113492
ENSG00000113312 ENSG00000132912
ENSG00000143740 ENSG00000168118
ENSG00000175324 ENSG00000183137
ENSG00000128573 ENSG00000146540
ENSG00000170430 ENSG00000174292
ENSG00000082146 ENSG00000117139
ENSG00000131323 ENSG00000256537
ENSG00000116161 ENSG00000143337
ENSG00000114125 ENSG00000138246
ENSG00000089289 ENSG00000130726
ENSG00000104412 ENSG00000147601
ENSG00000100764 ENSG00000100865
ENSG00000154309 ENSG00000198700
ENSG00000122870 ENSG00000165672
ENSG00000101447 ENSG00000139737
ENSG00000196459 ENSG00000197766
ENSG00000106588 ENSG00000198816
ENSG00000114978 ENSG00000145012
ENSG00000142186 ENSG00000174744
ENSG00000041802 ENSG00000175166
ENSG00000089022 ENSG00000204842
ENSG00000143222 ENSG00000158864
ENSG00000149823 ENSG00000165506
ENSG00000124784 ENSG00000135763
ENSG00000143553 ENSG00000158796
ENSG00000038274 ENSG00000183258
ENSG00000144959 ENSG00000169251
ENSG00000021762 ENSG00000109971
ENSG00000177707 ENSG00000184307
ENSG00000043093 ENSG00000188313
ENSG00000164038 ENSG00000171316
ENSG00000188243 ENSG00000241837
ENSG00000163660 ENSG00000177383
ENSG00000085788 ENSG00000104756
ENSG00000106052 ENSG00000122545
ENSG00000107736 ENSG00000147604
ENSG00000055130 ENSG00000149658
ENSG00000123572 ENSG00000198929
ENSG00000014919 ENSG00000108064
ENSG00000116747 ENSG00000169905
ENSG00000196235 ENSG00000249115
ENSG00000107937 ENSG00000152464
ENSG00000131174 ENSG00000165264
ENSG00000095574 ENSG00000107566
ENSG00000185344 ENSG00000198015
ENSG00000105372 ENSG00000149806
ENSG00000204439 ENSG00000253958
ENSG00000105576 ENSG00000143418
ENSG00000107758 ENSG00000176986
ENSG00000115966 ENSG00000119685
ENSG00000106105 ENSG00000119655
ENSG00000166736 ENSG00000170049
ENSG00000106263 ENSG00000127922
ENSG00000120333 ENSG00000143442
ENSG00000183354 ENSG00000241878
ENSG00000156931 ENSG00000163960
ENSG00000077147 ENSG00000138326
ENSG00000029993 ENSG00000102226
ENSG00000132541 ENSG00000172172
ENSG00000160972 ENSG00000250571
ENSG00000062650 ENSG00000099290
ENSG00000132676 ENSG00000162889
ENSG00000077232 ENSG00000173692
ENSG00000104218 ENSG00000104442
ENSG00000102858 ENSG00000204842
ENSG00000100916 ENSG00000184304
ENSG00000111670 ENSG00000175879
ENSG00000031698 ENSG00000085491
ENSG00000062598 ENSG00000108515
ENSG00000164715 ENSG00000166508
ENSG00000132676 ENSG00000162851
ENSG00000047410 ENSG00000185842
ENSG00000058063 ENSG00000114416
ENSG00000174628 ENSG00000196465
ENSG00000064763 ENSG00000109113
ENSG00000148655 ENSG00000166272
ENSG00000183520 ENSG00000187109
ENSG00000069248 ENSG00000264522
ENSG00000075407 ENSG00000104343
ENSG00000129103 ENSG00000239789
ENSG00000116906 ENSG00000136247
ENSG00000114013 ENSG00000197405
ENSG00000138430 ENSG00000185414
ENSG00000092148 ENSG00000092201
ENSG00000023041 ENSG00000127884
ENSG00000126878 ENSG00000139428
ENSG00000143155 ENSG00000143569
ENSG00000006756 ENSG00000026036
ENSG00000135083 ENSG00000158411
ENSG00000142556 ENSG00000171823
ENSG00000104679 ENSG00000104687
ENSG00000002834 ENSG00000125952
ENSG00000143774 ENSG00000162735
ENSG00000121892 ENSG00000122390
ENSG00000133316 ENSG00000149792
ENSG00000168288 ENSG00000221823
ENSG00000163435 ENSG00000169403
ENSG00000096717 ENSG00000166136
ENSG00000135845 ENSG00000143164
ENSG00000119946 ENSG00000141068
ENSG00000094914 ENSG00000256525
ENSG00000123395 ENSG00000184661
ENSG00000182180 ENSG00000204130
ENSG00000089048 ENSG00000169918
ENSG00000137960 ENSG00000179603
ENSG00000137831 ENSG00000149806
ENSG00000143179 ENSG00000266967
ENSG00000110422 ENSG00000151151
ENSG00000127884 ENSG00000175470
ENSG00000083845 ENSG00000114503
ENSG00000078618 ENSG00000115170
ENSG00000127804 ENSG00000150459
ENSG00000080561 ENSG00000166173
ENSG00000100281 ENSG00000164654
ENSG00000133398 ENSG00000164329
ENSG00000057757 ENSG00000159479
ENSG00000106819 ENSG00000122970
ENSG00000082213 ENSG00000113597
ENSG00000109534 ENSG00000148690
ENSG00000067533 ENSG00000143436
ENSG00000107566 ENSG00000156026
ENSG00000100575 ENSG00000129480
ENSG00000107829 ENSG00000166167
ENSG00000183773 ENSG00000226763
ENSG00000147684 ENSG00000187954
ENSG00000143158 ENSG00000256045
ENSG00000166947 ENSG00000196565
ENSG00000124356 ENSG00000132768
ENSG00000104290 ENSG00000105889
ENSG00000100084 ENSG00000136819
ENSG00000176087 ENSG00000254996
ENSG00000121380 ENSG00000175336
ENSG00000155868 ENSG00000196670
ENSG00000143393 ENSG00000162819
ENSG00000143379 ENSG00000143393
ENSG00000166821 ENSG00000177614
ENSG00000143376 ENSG00000168778
ENSG00000126860 ENSG00000162511
ENSG00000168079 ENSG00000170264
ENSG00000119280 ENSG00000162714
ENSG00000100029 ENSG00000143951
ENSG00000127884 ENSG00000138326
ENSG00000169550 ENSG00000198939
ENSG00000116852 ENSG00000131669
ENSG00000015676 ENSG00000168090
ENSG00000145817 ENSG00000170445
ENSG00000100558 ENSG00000213397
ENSG00000126464 ENSG00000213658
ENSG00000116668 ENSG00000163159
ENSG00000163728 ENSG00000166377
ENSG00000105538 ENSG00000196517
ENSG00000157212 ENSG00000157259
ENSG00000161217 ENSG00000163660
ENSG00000168778 ENSG00000228474
ENSG00000106244 ENSG00000168439
ENSG00000159140 ENSG00000160305
ENSG00000105427 ENSG00000113273
ENSG00000166439 ENSG00000169047
ENSG00000075391 ENSG00000153317
ENSG00000119280 ENSG00000203705
ENSG00000087111 ENSG00000102057
ENSG00000138613 ENSG00000159322
ENSG00000204842 ENSG00000228672
ENSG00000092330 ENSG00000129518
ENSG00000079616 ENSG00000119138
ENSG00000130508 ENSG00000182871
ENSG00000114315 ENSG00000155729
ENSG00000104695 ENSG00000158856
ENSG00000178814 ENSG00000179832
ENSG00000048162 ENSG00000169131
ENSG00000204628 ENSG00000205629
ENSG00000149557 ENSG00000275993
ENSG00000116922 ENSG00000196449
ENSG00000134375 ENSG00000164509
ENSG00000132436 ENSG00000169609
ENSG00000107960 ENSG00000198728
ENSG00000111678 ENSG00000181929
ENSG00000137100 ENSG00000156639
ENSG00000124562 ENSG00000225921
ENSG00000150760 ENSG00000166167
ENSG00000041988 ENSG00000169972
ENSG00000140379 ENSG00000166839
ENSG00000109906 ENSG00000116991
ENSG00000160710 ENSG00000162702
ENSG00000143624 ENSG00000152332
ENSG00000103479 ENSG00000146215
ENSG00000156030 ENSG00000198162
ENSG00000107669 ENSG00000108064
ENSG00000128591 ENSG00000174996
ENSG00000079332 ENSG00000120029
ENSG00000121022 ENSG00000140396
ENSG00000128965 ENSG00000135069
ENSG00000129197 ENSG00000166260
ENSG00000163660 ENSG00000270170
ENSG00000119408 ENSG00000166710
ENSG00000100014 ENSG00000100084
ENSG00000119688 ENSG00000152683
ENSG00000101361 ENSG00000124228
ENSG00000166313 ENSG00000215595
ENSG00000128654 ENSG00000151743
ENSG00000038945 ENSG00000173369
ENSG00000020181 ENSG00000074181
ENSG00000068745 ENSG00000164081
ENSG00000168970 ENSG00000178927
ENSG00000107625 ENSG00000119929
ENSG00000053918 ENSG00000203747
ENSG00000156521 ENSG00000182180
ENSG00000101605 ENSG00000164287
ENSG00000143515 ENSG00000169905
ENSG00000134287 ENSG00000173875
ENSG00000081791 ENSG00000217128
ENSG00000106028 ENSG00000128534
ENSG00000113048 ENSG00000164024
ENSG00000146067 ENSG00000169223
ENSG00000188191 ENSG00000198700
ENSG00000104231 ENSG00000104412
ENSG00000108406 ENSG00000117000
ENSG00000179218 ENSG00000277791
ENSG00000104687 ENSG00000198042
ENSG00000147649 ENSG00000156170
ENSG00000107651 ENSG00000198728
ENSG00000137656 ENSG00000149136
ENSG00000123643 ENSG00000152061
ENSG00000107758 ENSG00000182180
ENSG00000107669 ENSG00000165660
ENSG00000151553 ENSG00000214655
ENSG00000156976 ENSG00000163872
ENSG00000160714 ENSG00000265491
ENSG00000147439 ENSG00000175324
ENSG00000168522 ENSG00000198042
ENSG00000095139 ENSG00000186660
ENSG00000066336 ENSG00000095970
ENSG00000143393 ENSG00000159348
ENSG00000080007 ENSG00000196460
ENSG00000104432 ENSG00000164751
ENSG00000064489 ENSG00000118096
ENSG00000113742 ENSG00000169570
ENSG00000054282 ENSG00000143811
ENSG00000090266 ENSG00000134825
ENSG00000072401 ENSG00000198060
ENSG00000143793 ENSG00000159352
ENSG00000109066 ENSG00000162775
ENSG00000171302 ENSG00000197324
ENSG00000073803 ENSG00000184708
ENSG00000117597 ENSG00000176393
ENSG00000143740 ENSG00000198874
ENSG00000035499 ENSG00000112742
ENSG00000130748 ENSG00000233493
ENSG00000167880 ENSG00000184811
ENSG00000117500 ENSG00000197905
ENSG00000115694 ENSG00000144579
ENSG00000130363 ENSG00000146425
ENSG00000265241 ENSG00000265491
ENSG00000114770 ENSG00000128346
ENSG00000107566 ENSG00000182180
ENSG00000092439 ENSG00000204099
ENSG00000083828 ENSG00000152467
ENSG00000075914 ENSG00000134769
ENSG00000062650 ENSG00000175470
ENSG00000140365 ENSG00000184076
ENSG00000171490 ENSG00000174720
ENSG00000077147 ENSG00000107625
ENSG00000137364 ENSG00000188315
ENSG00000115271 ENSG00000152990
ENSG00000141127 ENSG00000162630
ENSG00000146963 ENSG00000179399
ENSG00000107758 ENSG00000173915
ENSG00000103245 ENSG00000274290
ENSG00000115966 ENSG00000186660
ENSG00000090447 ENSG00000124574
ENSG00000111328 ENSG00000179331
ENSG00000049541 ENSG00000157502
ENSG00000109445 ENSG00000136367
ENSG00000167967 ENSG00000215305
ENSG00000058091 ENSG00000105983
ENSG00000166507 ENSG00000198954
ENSG00000145782 ENSG00000164219
ENSG00000107742 ENSG00000151490
ENSG00000143337 ENSG00000143742
ENSG00000138668 ENSG00000182004
ENSG00000135390 ENSG00000147677
ENSG00000166295 ENSG00000214562
ENSG00000130513 ENSG00000163872
ENSG00000143393 ENSG00000169905
ENSG00000014919 ENSG00000112851
ENSG00000054116 ENSG00000183431
ENSG00000129214 ENSG00000132432
ENSG00000196419 ENSG00000261408
ENSG00000117475 ENSG00000134371
ENSG00000049167 ENSG00000049883
ENSG00000069248 ENSG00000143499
ENSG00000265354 ENSG00000266412
ENSG00000169682 ENSG00000171222
ENSG00000179918 ENSG00000183798
ENSG00000120533 ENSG00000164933
ENSG00000107669 ENSG00000198408
ENSG00000105171 ENSG00000115604
ENSG00000132153 ENSG00000163625
ENSG00000147439 ENSG00000154359
ENSG00000163510 ENSG00000180329
ENSG00000104142 ENSG00000132357
ENSG00000120784 ENSG00000182141
ENSG00000081154 ENSG00000177707
ENSG00000143811 ENSG00000154305
ENSG00000138231 ENSG00000158092
ENSG00000100601 ENSG00000171055
ENSG00000111879 ENSG00000164941
ENSG00000170445 ENSG00000275700
ENSG00000184557 ENSG00000205502
ENSG00000116704 ENSG00000198162
ENSG00000105829 ENSG00000136280
ENSG00000112079 ENSG00000164603
ENSG00000004939 ENSG00000197561
ENSG00000109771 ENSG00000127989
ENSG00000134321 ENSG00000213639
ENSG00000102901 ENSG00000171827
ENSG00000122778 ENSG00000196367
ENSG00000115568 ENSG00000144580
ENSG00000107371 ENSG00000111670
ENSG00000183208 ENSG00000221823
ENSG00000198961 ENSG00000246705
ENSG00000072849 ENSG00000165684
ENSG00000102699 ENSG00000133114
ENSG00000163785 ENSG00000174173
ENSG00000148814 ENSG00000150760
ENSG00000106263 ENSG00000165280
ENSG00000165626 ENSG00000171241
ENSG00000136888 ENSG00000176248
ENSG00000136156 ENSG00000164080
ENSG00000105983 ENSG00000106479
ENSG00000117222 ENSG00000119285
ENSG00000115946 ENSG00000164338
ENSG00000117984 ENSG00000198796
ENSG00000164576 ENSG00000186854
ENSG00000115594 ENSG00000166484
ENSG00000060069 ENSG00000165119
ENSG00000121579 ENSG00000174173
ENSG00000035499 ENSG00000093009
ENSG00000164022 ENSG00000241973
ENSG00000168040 ENSG00000174744
ENSG00000116809 ENSG00000160058
ENSG00000143553 ENSG00000163374
ENSG00000106305 ENSG00000166411
ENSG00000079332 ENSG00000155287
ENSG00000102904 ENSG00000172771
ENSG00000196455 ENSG00000197345
ENSG00000143375 ENSG00000170549
ENSG00000131831 ENSG00000172292
ENSG00000141699 ENSG00000275591
ENSG00000143324 ENSG00000198700
ENSG00000116161 ENSG00000178096
ENSG00000143457 ENSG00000143612
ENSG00000149100 ENSG00000165916
ENSG00000001497 ENSG00000046651
ENSG00000111269 ENSG00000167716
ENSG00000092978 ENSG00000117697
ENSG00000095539 ENSG00000114656
ENSG00000148187 ENSG00000167112
ENSG00000066422 ENSG00000125977
ENSG00000052723 ENSG00000076053
ENSG00000091140 ENSG00000173040
ENSG00000116539 ENSG00000163125
ENSG00000104687 ENSG00000155189
ENSG00000114648 ENSG00000168028
ENSG00000070718 ENSG00000120889
ENSG00000005812 ENSG00000089199
ENSG00000143751 ENSG00000143761
ENSG00000130768 ENSG00000139178
ENSG00000059573 ENSG00000148843
ENSG00000050748 ENSG00000122203
ENSG00000156253 ENSG00000156256
ENSG00000163611 ENSG00000176142
ENSG00000014919 ENSG00000156502
ENSG00000129744 ENSG00000175482
ENSG00000168765 ENSG00000182901
ENSG00000161202 ENSG00000185621
ENSG00000014919 ENSG00000176986
ENSG00000116497 ENSG00000179387
ENSG00000113643 ENSG00000144567
ENSG00000125482 ENSG00000138385
ENSG00000136522 ENSG00000270170
ENSG00000106479 ENSG00000257093
ENSG00000059691 ENSG00000138639
ENSG00000143641 ENSG00000162736
ENSG00000108389 ENSG00000215301
ENSG00000135845 ENSG00000154370
ENSG00000134278 ENSG00000152219
ENSG00000104643 ENSG00000130227
ENSG00000114796 ENSG00000161204
ENSG00000104679 ENSG00000104714
ENSG00000142207 ENSG00000169710
ENSG00000111678 ENSG00000178449
ENSG00000117143 ENSG00000176108
ENSG00000137693 ENSG00000197608
ENSG00000139351 ENSG00000148690
ENSG00000125459 ENSG00000143324
ENSG00000129691 ENSG00000173273
ENSG00000077097 ENSG00000175662
ENSG00000204435 ENSG00000234127
ENSG00000148411 ENSG00000183741
ENSG00000095574 ENSG00000138286
ENSG00000035499 ENSG00000100162
ENSG00000151413 ENSG00000198718
ENSG00000119655 ENSG00000136026
ENSG00000148700 ENSG00000180628
ENSG00000129355 ENSG00000168298
ENSG00000011638 ENSG00000142669
ENSG00000129071 ENSG00000185798
ENSG00000134697 ENSG00000144815
ENSG00000135842 ENSG00000197410
ENSG00000104695 ENSG00000173273
ENSG00000040275 ENSG00000113269
ENSG00000089289 ENSG00000109475
ENSG00000134255 ENSG00000136842
